jahr;ort;bfsnr;rubrik;thema;wert;einheit
2014;Thalwil;141;ARA;Wärme;2010;MWh
2014;Uster;198;ARA;Wärme;901;MWh
2014;Winterthur (Hard);230;ARA;Wärme;400;MWh
2014;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2014;Zürich (Werdhölzli);261;ARA;Wärme;39447;MWh
2015;Adliswil (Grütpark);131;ARA;Wärme;1113;MWh
2015;Bassersdorf (Eich);52;ARA;Wärme;604;MWh
2015;Bülach;53;ARA;Wärme;700;MWh
2015;Dietikon (Limmatfeld);243;ARA;Wärme;3933;MWh
2015;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2015;Effretikon (Mannenberg);296;ARA;Wärme;1176;MWh
2015;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2015;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2015;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2015;Horgen (Oberrieden);295;ARA;Wärme;1767;MWh
2015;Knonau;7;ARA;Wärme;270;MWh
2015;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2015;Meilen;156;ARA;Wärme;396;MWh
2015;Männedorf (Bluemax);155;ARA;Wärme;1370;MWh
2015;Mönchaltorf;196;ARA;Wärme;595;MWh
2015;Regensdorf (Wüeri);96;ARA;Wärme;1016;MWh
2015;Thalwil;141;ARA;Wärme;3369;MWh
2015;Uster;198;ARA;Wärme;1550;MWh
2015;Winterthur (Hard);230;ARA;Wärme;400;MWh
2015;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2015;Zürich (Werdhölzli);261;ARA;Wärme;42596;MWh
2016;Adliswil (Grütpark);131;ARA;Wärme;1162;MWh
2016;Bassersdorf (Eich);52;ARA;Wärme;1233;MWh
2016;Bülach;53;ARA;Wärme;700;MWh
2016;Dietikon (Limmatfeld);243;ARA;Wärme;5856;MWh
2016;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2016;Effretikon (Mannenberg);296;ARA;Wärme;1252;MWh
2016;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2016;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2016;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2016;Horgen (Oberrieden);295;ARA;Wärme;1844;MWh
2016;Knonau;7;ARA;Wärme;270;MWh
2016;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2016;Meilen;156;ARA;Wärme;631;MWh
2016;Männedorf (Bluemax);155;ARA;Wärme;877;MWh
2016;Mönchaltorf;196;ARA;Wärme;862;MWh
2016;Regensdorf (Wüeri);96;ARA;Wärme;1086;MWh
2016;Thalwil;141;ARA;Wärme;1758;MWh
2016;Uster;198;ARA;Wärme;2017;MWh
2016;Winterthur (Hard);230;ARA;Wärme;400;MWh
2016;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2016;Zürich (Werdhölzli);261;ARA;Wärme;43119;MWh
2017;Adliswil (Grütpark);131;ARA;Wärme;1086;MWh
2017;Bassersdorf (Eich);52;ARA;Wärme;1619;MWh
2017;Bülach;53;ARA;Wärme;700;MWh
2017;Dietikon (Limmatfeld);243;ARA;Wärme;5287;MWh
2017;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2017;Effretikon (Mannenberg);296;ARA;Wärme;1156;MWh
2017;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2017;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2017;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2017;Horgen (Oberrieden);295;ARA;Wärme;2090;MWh
2017;Knonau;7;ARA;Wärme;270;MWh
2017;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2017;Meilen;156;ARA;Wärme;854;MWh
2017;Männedorf (Bluemax);155;ARA;Wärme;858;MWh
2017;Mönchaltorf;196;ARA;Wärme;418;MWh
2017;Regensdorf (Wüeri);96;ARA;Wärme;903;MWh
2017;Thalwil;141;ARA;Wärme;1946;MWh
2017;Uster;198;ARA;Wärme;2372;MWh
2017;Winterthur (Hard);230;ARA;Wärme;400;MWh
2017;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2017;Zürich (Werdhölzli);261;ARA;Wärme;45176;MWh
2018;Adliswil (Grütpark);131;ARA;Wärme;1089;MWh
2018;Bassersdorf (Eich);52;ARA;Wärme;1266;MWh
2018;Bülach;53;ARA;Wärme;700;MWh
2018;Dietikon (Limmatfeld);243;ARA;Wärme;5104;MWh
2018;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2018;Effretikon (Mannenberg);296;ARA;Wärme;1134;MWh
2018;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2018;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2018;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2018;Horgen (Oberrieden);295;ARA;Wärme;1995;MWh
2018;Knonau;7;ARA;Wärme;270;MWh
2018;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2018;Meilen;156;ARA;Wärme;904;MWh
2018;Männedorf (Bluemax);155;ARA;Wärme;837;MWh
2018;Mönchaltorf;196;ARA;Wärme;676;MWh
2018;Regensdorf (Wüeri);96;ARA;Wärme;1247;MWh
2018;Thalwil;141;ARA;Wärme;1749;MWh
2018;Uster;198;ARA;Wärme;2326;MWh
2018;Winterthur (Hard);230;ARA;Wärme;400;MWh
2018;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2018;Zürich (Werdhölzli);261;ARA;Wärme;42586;MWh
2019;Adliswil (Grütpark);131;ARA;Wärme;1138;MWh
2019;Bassersdorf (Eich);52;ARA;Wärme;1405;MWh
2019;Bülach;53;ARA;Wärme;700;MWh
2019;Dietikon (Limmatfeld);243;ARA;Wärme;6042;MWh
2019;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
