jahr;bfsnr;ort;anlage;rubrik;thema;wert;einheit
2013;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;48427;MWh
2014;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;37415;MWh
2014;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;88274;MWh
2014;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;420710;MWh
2014;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;116568;MWh
2014;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;23335;MWh
2014;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;39440;MWh
2015;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;56583;MWh
2015;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;104237;MWh
2015;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;434965;MWh
2015;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;147438;MWh
2015;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;25912;MWh
2015;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;38171;MWh
2016;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;62015;MWh
2016;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;102088;MWh
2016;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;427667;MWh
2016;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;175288;MWh
2016;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;26752;MWh
2016;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;37169;MWh
2017;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;57644;MWh
2017;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;111946;MWh
2017;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;420738;MWh
2017;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;171022;MWh
2017;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;25520;MWh
2017;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;40791;MWh
2018;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;60391;MWh
2018;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;111272;MWh
2018;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;419217;MWh
2018;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;167119;MWh
2018;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;33148;MWh
2018;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;38623;MWh
2019;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;59127;MWh
2019;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;103598;MWh
2019;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;450052;MWh
2019;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;182824;MWh
2019;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;65334;MWh
2019;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;41384;MWh
2020;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;57258;MWh
2020;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;105065;MWh
2020;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;444768;MWh
2020;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;184727;MWh
2020;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;74540;MWh
2020;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;43756;MWh
2021;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;61870;MWh
2021;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;474162;MWh
2021;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;201812;MWh
2021;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;99029;MWh
2021;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;46222;MWh
2022;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;49212;MWh
2022;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;417981;MWh
2022;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;178347;MWh
2022;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;102086;MWh
2022;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;43344;MWh
2001;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;89180;MWh
2001;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;47727;MWh
2001;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;32227;MWh
2001;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;76145;MWh
2001;243;Dietikon;KV Limeco;KVA;Stromproduktion;57062;MWh
2001;295;Horgen;KVA Horgen;KVA;Stromproduktion;19868;MWh
2002;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;99354;MWh
2002;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;56993;MWh
2002;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;32728;MWh
2002;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;76678;MWh
2002;243;Dietikon;KV Limeco;KVA;Stromproduktion;57291;MWh
2002;295;Horgen;KVA Horgen;KVA;Stromproduktion;19882;MWh
2003;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;102929;MWh
