jahr;ort;bfsnr;anlage;rubrik;thema;wert;einheit
2013;Zürich;261;Zürich;Biogene Abfälle;Wärme;9635.28;MWh
2013;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6337.26;MWh
2013;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;14140.56;MWh
2013;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;10924.05;MWh
2013;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;9710.52;MWh
2013;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;2974.83;MWh
2013;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;194.37;MWh
2013;Lindau;176;Lindau;Biogene Abfälle;Wärme;1853.07;MWh
2013;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;2346.12;MWh
2013;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;516.42;MWh
2013;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;458.28;MWh
2013;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;206.34;MWh
2014;Bachenbülach;51;Bachenbülach;Biogene Abfälle;Wärme;9754.41;MWh
2014;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;10846.53;MWh
2014;Otelfingen;94;Otelfingen;Biogene Abfälle;Wärme;7849.47;MWh
2014;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;9035.07;MWh
2014;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6780.72;MWh
2014;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;17063.52;MWh
2014;Winterthur;230;Winterthur;Biogene Abfälle;Wärme;4863.24;MWh
2014;Zürich;261;Zürich;Biogene Abfälle;Wärme;13801.41;MWh
2014;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;4342.26;MWh
2014;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;236.55;MWh
2014;Lindau;176;Lindau;Biogene Abfälle;Wärme;2700.66;MWh
2014;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;3060.9;MWh
2014;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;397.29;MWh
2014;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;584.25;MWh
2014;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;259.92;MWh
2015;Bachenbülach;51;Bachenbülach;Biogene Abfälle;Wärme;8772.87;MWh
2015;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;11065.98;MWh
2015;Otelfingen;94;Otelfingen;Biogene Abfälle;Wärme;6889.02;MWh
2015;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;8710.17;MWh
2015;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6496.86;MWh
2015;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;13353.39;MWh
2015;Winterthur;230;Winterthur;Biogene Abfälle;Wärme;10531.32;MWh
2015;Zürich;261;Zürich;Biogene Abfälle;Wärme;13903.44;MWh
2015;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;1252.29;MWh
2015;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;247.95;MWh
2015;Lindau;176;Lindau;Biogene Abfälle;Wärme;1764.15;MWh
2015;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;1279.65;MWh
2015;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;99.75;MWh
2015;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;599.64;MWh
2015;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;431.49;MWh
2017;Bachenbülach;51;Bachenbülach;Biogene Abfälle;Wärme;7778.79;MWh
2017;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;12366.72;MWh
2017;Otelfingen;94;Otelfingen;Biogene Abfälle;Wärme;5879.55;MWh
2017;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;9497.91;MWh
2017;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6992.19;MWh
2017;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;14783.52;MWh
2017;Winterthur;230;Winterthur;Biogene Abfälle;Wärme;12550.26;MWh
2017;Zürich;261;Zürich;Biogene Abfälle;Wärme;14975.04;MWh
2017;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;1424.658;MWh
2017;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;469.68;MWh
2017;Lindau;176;Lindau;Biogene Abfälle;Wärme;4829.838;MWh
2017;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;1325.022;MWh
2017;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;735.3;MWh
2017;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;650.142;MWh
2017;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;961.59;MWh
2018;Bachenbülach;51;Bachenbülach;Biogene Abfälle;Wärme;8365.89;MWh
2018;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;12184.89;MWh
2018;Otelfingen;94;Otelfingen;Biogene Abfälle;Wärme;6695.22;MWh
2018;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;9131.4;MWh
2018;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6291.66;MWh
2018;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;13937.64;MWh
