"jahr";"anlage";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit";"betrieb"
"2024";"d0153";"Kilchberg (ZH)";"135";"Oberflächengewässer";"Wärme";"1000,000";"kW";"Ja"
"2024";"d0153";"Kilchberg (ZH)";"135";"Oberflächengewässer";"Kälte";"6000,000";"kW";"Ja"
"2024";"d0197";"Horgen";"295";"Oberflächengewässer";"Wärme";"48,000";"kW";"Ja"
"2024";"d0197";"Horgen";"295";"Oberflächengewässer";"Kälte";"149,000";"kW";"Ja"
"2024";"d0217";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"10,500";"kW";"Ja"
"2024";"d0217";"Wädenswil";"293";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"d0221";"Rüschlikon";"139";"Oberflächengewässer";"Wärme";"5,700";"kW";"Ja"
"2024";"d0221";"Rüschlikon";"139";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"d0225";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"450,000";"kW";"Ja"
"2024";"d0225";"Wädenswil";"293";"Oberflächengewässer";"Kälte";"58,000";"kW";"Ja"
"2024";"d0226";"Kilchberg (ZH)";"135";"Oberflächengewässer";"Wärme";"331,000";"kW";"Ja"
"2024";"d0226";"Kilchberg (ZH)";"135";"Oberflächengewässer";"Kälte";"180,000";"kW";"Ja"
"2024";"d0230";"Thalwil";"141";"Oberflächengewässer";"Wärme";"537,000";"kW";"Ja"
"2024";"d0230";"Thalwil";"141";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"d0234";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"125,000";"kW";"Ja"
"2024";"d0234";"Wädenswil";"293";"Oberflächengewässer";"Kälte";"50,000";"kW";"Ja"
"2024";"d0236";"Horgen";"295";"Oberflächengewässer";"Wärme";"604,000";"kW";"Ja"
"2024";"d0236";"Horgen";"295";"Oberflächengewässer";"Kälte";"250,000";"kW";"Ja"
"2024";"d0239";"Horgen";"295";"Oberflächengewässer";"Wärme";"311,000";"kW";"Ja"
"2024";"d0239";"Horgen";"295";"Oberflächengewässer";"Kälte";"200,000";"kW";"Ja"
"2024";"d0242";"Thalwil";"141";"Oberflächengewässer";"Wärme";"110,000";"kW";"Ja"
"2024";"d0242";"Thalwil";"141";"Oberflächengewässer";"Kälte";"175,000";"kW";"Ja"
"2024";"d0243";"Horgen";"295";"Oberflächengewässer";"Wärme";"50,000";"kW";"Ja"
"2024";"d0243";"Horgen";"295";"Oberflächengewässer";"Kälte";"45,000";"kW";"Ja"
"2024";"d0246";"Horgen";"295";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"d0246";"Horgen";"295";"Oberflächengewässer";"Kälte";"200,000";"kW";"Ja"
"2024";"d0250";"Thalwil";"141";"Oberflächengewässer";"Wärme";"1550,000";"kW";"Ja"
"2024";"d0250";"Thalwil";"141";"Oberflächengewässer";"Kälte";"1548,000";"kW";"Ja"
"2024";"d0287";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"41,000";"kW";"Ja"
"2024";"d0287";"Wädenswil";"293";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"e0100";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Wärme";"522,000";"kW";"Ja"
"2024";"e0100";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Kälte";"690,000";"kW";"Ja"
"2024";"e0132";"Meilen";"156";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"e0132";"Meilen";"156";"Oberflächengewässer";"Kälte";"500,000";"kW";"Ja"
"2024";"e0141";"Stäfa";"158";"Oberflächengewässer";"Wärme";"23,000";"kW";"Ja"
