"jahr";"bfsnr";"ort";"rubrik";"thema";"wert";"einheit"
1996;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1996;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
1997;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
1997;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1997;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
1997;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1997;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
1998;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
1998;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1998;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
1998;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1998;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
1999;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
1999;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1999;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
1999;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1999;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2000;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2000;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2000;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2000;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2000;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2001;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2001;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2001;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2001;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2001;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2002;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2002;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2002;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2002;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2002;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2003;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2003;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2003;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2003;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2003;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2004;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2004;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2004;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2004;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2004;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2005;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2005;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2005;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2005;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2005;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2006;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2006;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2006;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2006;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2006;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2007;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2007;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2007;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2007;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2007;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2008;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2008;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2008;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2008;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2008;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2009;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2009;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2009;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2009;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2009;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2010;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2010;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2010;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2010;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2010;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2011;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2011;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2011;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2011;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2011;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2012;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
