"jahr";"ort";"rubrik";"thema";"subthema";"wert";"einheit"
2015;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";11.182717322879467;"GWh"
2016;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";109.27275951802649;"GWh"
2016;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";10.995923465030792;"GWh"
2017;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";113.52155276616459;"GWh"
2017;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";10.782136369904752;"GWh"
2018;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";117.68660829089781;"GWh"
2018;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";10.580007623593442;"GWh"
2019;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";120.6643585191923;"GWh"
2019;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";10.377752534762534;"GWh"
2020;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";122.0257350472302;"GWh"
2020;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";10.145103560430435;"GWh"
2021;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";122.31242380095829;"GWh"
2021;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";9.909927282847251;"GWh"
2022;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";122.0851435303166;"GWh"
2022;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";9.655865657597484;"GWh"
2023;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";121.09222844510835;"GWh"
2023;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";9.350661543106659;"GWh"
2024;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";119.55823365498;"GWh"
2024;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";9.041814476563935;"GWh"
