"jahr";"ort";"rubrik";"thema";"wert";"einheit"
1996;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
1996;"Kanton ZH";"Grüngut";"Strom";1650;"MWh"
1996;"Kanton ZH";"Grüngut";"Biogas";400;"MWh"
1996;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
1997;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
1997;"Kanton ZH";"Grüngut";"Strom";1696;"MWh"
1997;"Kanton ZH";"Grüngut";"Biogas";890;"MWh"
1997;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
1998;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
1998;"Kanton ZH";"Grüngut";"Strom";1704.04;"MWh"
1998;"Kanton ZH";"Grüngut";"Biogas";1508.97;"MWh"
1998;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
1999;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
1999;"Kanton ZH";"Grüngut";"Strom";1656.147;"MWh"
1999;"Kanton ZH";"Grüngut";"Biogas";2245.882;"MWh"
1999;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2000;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
2000;"Kanton ZH";"Grüngut";"Strom";1240.644;"MWh"
2000;"Kanton ZH";"Grüngut";"Biogas";5316.951999999999;"MWh"
2000;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2001;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
2001;"Kanton ZH";"Grüngut";"Strom";1180.9;"MWh"
2001;"Kanton ZH";"Grüngut";"Biogas";6761.4;"MWh"
2001;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2002;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
2002;"Kanton ZH";"Grüngut";"Strom";2291;"MWh"
2002;"Kanton ZH";"Grüngut";"Biogas";6637;"MWh"
2002;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2003;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
2003;"Kanton ZH";"Grüngut";"Strom";2370;"MWh"
2003;"Kanton ZH";"Grüngut";"Biogas";7660;"MWh"
2003;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2004;"Kanton ZH";"Grüngut";"Abwärme";170;"MWh"
2004;"Kanton ZH";"Grüngut";"Strom";3790;"MWh"
2004;"Kanton ZH";"Grüngut";"Biogas";9570;"MWh"
2004;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2005;"Kanton ZH";"Grüngut";"Abwärme";200;"MWh"
2005;"Kanton ZH";"Grüngut";"Strom";5220;"MWh"
2005;"Kanton ZH";"Grüngut";"Biogas";9760;"MWh"
2005;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2006;"Kanton ZH";"Grüngut";"Abwärme";1000;"MWh"
2006;"Kanton ZH";"Grüngut";"Strom";6100;"MWh"
2006;"Kanton ZH";"Grüngut";"Biogas";9690;"MWh"
2006;"Kanton ZH";"Grüngut";"Holz";NA;"MWh"
2007;"Kanton ZH";"Grüngut";"Abwärme";1000;"MWh"
2007;"Kanton ZH";"Grüngut";"Strom";7200;"MWh"
2007;"Kanton ZH";"Grüngut";"Biogas";8900;"MWh"
