bfsakt,gemakt,einheit,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
70,Wasterkingen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Wil,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Winkel,MWh,0,0,1164,1342,1846,1825,2744,2631,2762,3171,2905,2564,2858,3168,2655,3655,3541,4069,3421,2766,2766
81,Bachs,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Boppelsen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Buchs,MWh,6854,8935,16059,11182,13117,12438,14369,13842,14498,17232,15411,15302,11366,19312,18959,19740,20742,25348,25101,20985,18035
84,Dällikon,MWh,10185,9558,9431,7820,8745,8356,8925,9388,10820,11729,11696,11697,12398,13044,13583,13452,11696,14212,12836,10688,11113
85,Dänikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Dielsdorf,MWh,0,0,0,0,5791,3897,8426,10467,11874,13679,12700,12167,13151,14830,13680,13336,13299,14531,14079,10497,12234
87,Hüttikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Neerach,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Niederglatt,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Niederhasli,MWh,0,0,0,0,0,0,0,0,0,95,5455,5870,6725,7683,9360,10673,10672,12197,10990,10015,9848
91,Niederweningen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Oberglatt,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Oberweningen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Otelfingen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Regensberg,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Regensdorf,MWh,72696,71106,76816,61042,71311,70176,71279,65982,67953,72260,64722,66416,68883,70532,70532,70034,77726,89586,87088,76013,77998
97,Rümlang,MWh,21827,22227,22353,19563,24718,26355,28379,27570,29156,34399,29609,31761,32782,33530,33910,34826,32547,38670,35450,28824,26117
98,Schleinikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Schöfflisdorf,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Stadel,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Steinmaur,MWh,0,0,0,0,0,0,0,0,2238,2405,2043,5086,2098,4258,5671,6159,5721,6054,5982,4525,4776
102,Weiach,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Bäretswil,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Bubikon,MWh,0,0,0,0,17171,15913,18108,18056,21993,22990,18021,19000,20000,21000,20000,20000,19000,22000,19427,18769,19150
113,Dürnten,MWh,0,0,0,0,19522,20091,20116,20212,23985,26921,20305,20000,21000,23000,22000,22000,21000,25000,21051,19225,20561
114,Fischenthal,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Gossau,MWh,0,0,0,0,0,0,0,0,0,0,0,0,570,3696,6843,8615,10953,11420,12153,9972,11242
116,Grüningen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Hinwil,MWh,0,0,0,0,28624,40342,40003,35091,38719,40895,32925,31000,30000,30000,29000,32000,31000,39000,33409,27447,31157
118,Rüti,MWh,0,0,0,0,53100,53560,55986,51465,63865,67570,52222,55000,61000,61000,58000,64000,63000,73000,59242,54699,58794
119,Seegräben,MWh,0,4256,4471,3788,4574,4985,5111,4949,4241,4564,3988,4103,4243,4281,4072,3649,2418,2067,3092,3025,2702
120,Wald,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Wetzikon,MWh,0,116565,127171,104660,122549,125937,129003,123936,128703,137144,119835,123299,127490,128654,122361,131350,128998,150828,118215,126602,111812
131,Adliswil,MWh,82176,78219,82275,67414,77501,81534,72748,84436,80157,88324,80378,79991,83407,86730,83677,84653,83008,93760,94122,76481,74982
135,Kilchberg,MWh,51675,59197,60069,51444,58167,57515,59796,54546,56108,60053,55110,56519,56896,58735,56299,58772,57130,61747,52441,45710,52519
136,Langnau a.A.,MWh,0,0,26529,22847,25366,25366,26863,24517,28297,29274,26681,28203,28202,31318,28419,29914,30100,31590,27501,25828,26380
137,Oberrieden,MWh,0,0,26798,23385,26529,24339,27489,22337,25367,27597,26737,25518,24728,24096,24607,25890,24706,26624,22416,21442,20917
138,Richterswil,MWh,54763,57691,64299,53338,63796,62581,65857,63954,65956,73980,66622,66083,70107,75456,72842,76841,72785,83561,72355,64800,63680
139,Rüschlikon,MWh,0,0,27971,23094,27112,27533,30053,27927,29853,32887,28532,29036,28830,28437,28996,30411,29385,31730,27198,25335,24798
141,Thalwil,MWh,0,0,106041,83732,97632,92602,98976,82254,86367,99422,86564,88126,85234,84544,87200,88625,83927,93930,76995,75880,71927
151,Erlenbach,MWh,27740,27677,29650,23921,28313,27643,15258,30567,28767,31525,29570,28612,28325,29695,31202,30133,29940,32133,41696,25725,24932
152,Herrliberg,MWh,26460,26229,27630,22265,26401,27617,26602,26541,27212,29593,25934,24528,25718,26804,27078,27542,26186,29215,27393,23966,23425
153,Hombrechtikon,MWh,950,982,1031,762,960,963,936,947,1007,1091,995,1014,977,1008,926,1108,1214,1381,1364,1146,1082
154,Küsnacht,MWh,84156,85517,88116,72560,80890,80577,84571,78862,81941,89929,91774,80490,84218,89920,83220,87548,83359,96035,86345,83659,80856
155,Männedorf,MWh,50516,49824,53007,42941,49554,48598,46728,48171,48850,50761,46245,46387,47615,50905,49448,49975,44835,54306,50817,39340,41482
156,Meilen,MWh,79209,77389,82973,69081,76508,76972,68050,75610,73383,74971,68445,65840,67015,67649,68354,69375,70155,79197,79116,65937,61688
157,Oetwil a.S.,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Stäfa,MWh,56721,55834,62017,49598,58912,58519,57336,58664,59202,64398,57833,58282,60116,64266,62767,62639,60322,68761,63710,51682,50580
159,Uetikon a.S.,MWh,34649,37000,37275,34411,38986,50656,52256,54445,54084,55819,49875,48458,49411,36542,26059,23179,22007,24019,21827,18983,18353
160,Zumikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Zollikon,MWh,68214,67762,72113,60209,68391,67805,67299,66947,70038,76177,57365,68566,71741,76598,70891,74578,71010,81808,73553,71265,68878
172,Fehraltorf,MWh,0,0,0,12618,24455,23427,25354,28141,25432,29353,30238,33434,34499,41417,42730,41673,39593,49422,50253,22575,44811
173,Hittnau,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Lindau,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Pfäffikon,MWh,0,0,0,0,1235,9783,12703,11974,16959,21167,16857,19865,23089,28255,26544,28940,27779,32492,24596,24078,25488
178,Russikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Weisslingen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
