"jahr";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit"
2021;"Aeugst am Albis";1;"Strom";"PV";891.1;"kW"
2021;"Aeugst am Albis";1;"Strom";"PV";891.1;"MWh"
2021;"Aeugst am Albis";1;"Strom";"PV";55;"Anzahl"
2022;"Aeugst am Albis";1;"Strom";"PV";946.58;"kW"
2022;"Aeugst am Albis";1;"Strom";"PV";946.58;"MWh"
2022;"Aeugst am Albis";1;"Strom";"PV";59;"Anzahl"
2023;"Aeugst am Albis";1;"Strom";"PV";1238.66;"kW"
2023;"Aeugst am Albis";1;"Strom";"PV";1238.66;"MWh"
2023;"Aeugst am Albis";1;"Strom";"PV";70;"Anzahl"
2024;"Aeugst am Albis";1;"Strom";"PV";1514.54;"kW"
2024;"Aeugst am Albis";1;"Strom";"PV";1514.54;"MWh"
2024;"Aeugst am Albis";1;"Strom";"PV";88;"Anzahl"
2025;"Aeugst am Albis";1;"Strom";"PV";1642.06;"kW"
2025;"Aeugst am Albis";1;"Strom";"PV";1642.06;"MWh"
2025;"Aeugst am Albis";1;"Strom";"PV";94;"Anzahl"
1990;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1990;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1990;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1991;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1991;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1991;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1992;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1992;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1992;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1993;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1993;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1993;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1994;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1994;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1994;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1995;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1995;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1995;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1996;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1996;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1996;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1997;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1997;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1997;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1998;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1998;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1998;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1999;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1999;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1999;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
2000;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
2000;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
2000;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
2001;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
2001;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
2001;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
2002;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
2002;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
2002;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
2003;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
2003;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
2003;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
2004;"Affoltern am Albis";2;"Strom";"PV";6.4;"kW"
2004;"Affoltern am Albis";2;"Strom";"PV";6.4;"MWh"
2004;"Affoltern am Albis";2;"Strom";"PV";1;"Anzahl"
2005;"Affoltern am Albis";2;"Strom";"PV";6.4;"kW"
2005;"Affoltern am Albis";2;"Strom";"PV";6.4;"MWh"
2005;"Affoltern am Albis";2;"Strom";"PV";1;"Anzahl"
2006;"Affoltern am Albis";2;"Strom";"PV";6.4;"kW"
2006;"Affoltern am Albis";2;"Strom";"PV";6.4;"MWh"
2006;"Affoltern am Albis";2;"Strom";"PV";1;"Anzahl"
2007;"Affoltern am Albis";2;"Strom";"PV";6.4;"kW"
2007;"Affoltern am Albis";2;"Strom";"PV";6.4;"MWh"
2007;"Affoltern am Albis";2;"Strom";"PV";1;"Anzahl"
2008;"Affoltern am Albis";2;"Strom";"PV";6.4;"kW"
2008;"Affoltern am Albis";2;"Strom";"PV";6.4;"MWh"
2008;"Affoltern am Albis";2;"Strom";"PV";1;"Anzahl"
2009;"Affoltern am Albis";2;"Strom";"PV";44.4;"kW"
2009;"Affoltern am Albis";2;"Strom";"PV";44.4;"MWh"
2009;"Affoltern am Albis";2;"Strom";"PV";4;"Anzahl"
2010;"Affoltern am Albis";2;"Strom";"PV";48.8;"kW"
2010;"Affoltern am Albis";2;"Strom";"PV";48.8;"MWh"
2010;"Affoltern am Albis";2;"Strom";"PV";5;"Anzahl"
2011;"Affoltern am Albis";2;"Strom";"PV";127.16;"kW"
2011;"Affoltern am Albis";2;"Strom";"PV";127.16;"MWh"
2011;"Affoltern am Albis";2;"Strom";"PV";10;"Anzahl"
2012;"Affoltern am Albis";2;"Strom";"PV";715.9599999999999;"kW"
2012;"Affoltern am Albis";2;"Strom";"PV";715.9599999999999;"MWh"
2012;"Affoltern am Albis";2;"Strom";"PV";25;"Anzahl"
2013;"Affoltern am Albis";2;"Strom";"PV";846.16;"kW"
2013;"Affoltern am Albis";2;"Strom";"PV";846.16;"MWh"
2013;"Affoltern am Albis";2;"Strom";"PV";29;"Anzahl"
2014;"Affoltern am Albis";2;"Strom";"PV";979.8499999999999;"kW"
2014;"Affoltern am Albis";2;"Strom";"PV";979.8499999999999;"MWh"
2014;"Affoltern am Albis";2;"Strom";"PV";37;"Anzahl"
2015;"Affoltern am Albis";2;"Strom";"PV";1078.1799999999998;"kW"
2015;"Affoltern am Albis";2;"Strom";"PV";1078.1799999999998;"MWh"
2015;"Affoltern am Albis";2;"Strom";"PV";44;"Anzahl"
2016;"Affoltern am Albis";2;"Strom";"PV";1552.6799999999998;"kW"
2016;"Affoltern am Albis";2;"Strom";"PV";1552.6799999999998;"MWh"
2016;"Affoltern am Albis";2;"Strom";"PV";59;"Anzahl"
2017;"Affoltern am Albis";2;"Strom";"PV";1703.48;"kW"
2017;"Affoltern am Albis";2;"Strom";"PV";1703.48;"MWh"
2017;"Affoltern am Albis";2;"Strom";"PV";73;"Anzahl"
2018;"Affoltern am Albis";2;"Strom";"PV";1793.6699999999998;"kW"
2018;"Affoltern am Albis";2;"Strom";"PV";1793.6699999999998;"MWh"
2018;"Affoltern am Albis";2;"Strom";"PV";83;"Anzahl"
2019;"Affoltern am Albis";2;"Strom";"PV";1973.03;"kW"
2019;"Affoltern am Albis";2;"Strom";"PV";1973.03;"MWh"
2019;"Affoltern am Albis";2;"Strom";"PV";92;"Anzahl"
2020;"Affoltern am Albis";2;"Strom";"PV";2346.22;"kW"
2020;"Affoltern am Albis";2;"Strom";"PV";2346.22;"MWh"
2020;"Affoltern am Albis";2;"Strom";"PV";113;"Anzahl"
2021;"Affoltern am Albis";2;"Strom";"PV";2646.61;"kW"
2021;"Affoltern am Albis";2;"Strom";"PV";2646.61;"MWh"
2021;"Affoltern am Albis";2;"Strom";"PV";132;"Anzahl"
2022;"Affoltern am Albis";2;"Strom";"PV";3032.05;"kW"
2022;"Affoltern am Albis";2;"Strom";"PV";3032.05;"MWh"
2022;"Affoltern am Albis";2;"Strom";"PV";158;"Anzahl"
2023;"Affoltern am Albis";2;"Strom";"PV";4096.25;"kW"
2023;"Affoltern am Albis";2;"Strom";"PV";4096.25;"MWh"
2023;"Affoltern am Albis";2;"Strom";"PV";201;"Anzahl"
2024;"Affoltern am Albis";2;"Strom";"PV";6175.81;"kW"
2024;"Affoltern am Albis";2;"Strom";"PV";6175.81;"MWh"
2024;"Affoltern am Albis";2;"Strom";"PV";252;"Anzahl"
2025;"Affoltern am Albis";2;"Strom";"PV";7523.86;"kW"
2025;"Affoltern am Albis";2;"Strom";"PV";7523.86;"MWh"
2025;"Affoltern am Albis";2;"Strom";"PV";261;"Anzahl"
