"Jahr","Rubrik","Energietraeger","TJ","Einheit","Einheit_lang","Ort"
2018,"Endverbrauch - Total","Gas",112540,"TJ","Terra Joule","Kanton ZH"
2019,"Endverbrauch - Total","Gas",115440,"TJ","Terra Joule","Kanton ZH"
2020,"Endverbrauch - Total","Gas",113180,"TJ","Terra Joule","Kanton ZH"
2021,"Endverbrauch - Total","Gas",122600,"TJ","Terra Joule","Kanton ZH"
2022,"Endverbrauch - Total","Gas",101790,"TJ","Terra Joule","Kanton ZH"
2023,"Endverbrauch - Total","Gas",94630,"TJ","Terra Joule","Kanton ZH"
1990,"Endverbrauch - Total","Kohle",14360,"TJ","Terra Joule","Kanton ZH"
1991,"Endverbrauch - Total","Kohle",12540,"TJ","Terra Joule","Kanton ZH"
1992,"Endverbrauch - Total","Kohle",8660,"TJ","Terra Joule","Kanton ZH"
1993,"Endverbrauch - Total","Kohle",7280,"TJ","Terra Joule","Kanton ZH"
1994,"Endverbrauch - Total","Kohle",7350,"TJ","Terra Joule","Kanton ZH"
1995,"Endverbrauch - Total","Kohle",7920,"TJ","Terra Joule","Kanton ZH"
1996,"Endverbrauch - Total","Kohle",5960,"TJ","Terra Joule","Kanton ZH"
1997,"Endverbrauch - Total","Kohle",4590,"TJ","Terra Joule","Kanton ZH"
1998,"Endverbrauch - Total","Kohle",3810,"TJ","Terra Joule","Kanton ZH"
1999,"Endverbrauch - Total","Kohle",3960,"TJ","Terra Joule","Kanton ZH"
2000,"Endverbrauch - Total","Kohle",5770,"TJ","Terra Joule","Kanton ZH"
2001,"Endverbrauch - Total","Kohle",6030,"TJ","Terra Joule","Kanton ZH"
2002,"Endverbrauch - Total","Kohle",5560,"TJ","Terra Joule","Kanton ZH"
2003,"Endverbrauch - Total","Kohle",5710,"TJ","Terra Joule","Kanton ZH"
2004,"Endverbrauch - Total","Kohle",5420,"TJ","Terra Joule","Kanton ZH"
2005,"Endverbrauch - Total","Kohle",6040,"TJ","Terra Joule","Kanton ZH"
2006,"Endverbrauch - Total","Kohle",6520,"TJ","Terra Joule","Kanton ZH"
2007,"Endverbrauch - Total","Kohle",7300,"TJ","Terra Joule","Kanton ZH"
2008,"Endverbrauch - Total","Kohle",6560,"TJ","Terra Joule","Kanton ZH"
2009,"Endverbrauch - Total","Kohle",6190,"TJ","Terra Joule","Kanton ZH"
2010,"Endverbrauch - Total","Kohle",6210,"TJ","Terra Joule","Kanton ZH"
2011,"Endverbrauch - Total","Kohle",5740,"TJ","Terra Joule","Kanton ZH"
2012,"Endverbrauch - Total","Kohle",5170,"TJ","Terra Joule","Kanton ZH"
2013,"Endverbrauch - Total","Kohle",5570,"TJ","Terra Joule","Kanton ZH"
2014,"Endverbrauch - Total","Kohle",5700,"TJ","Terra Joule","Kanton ZH"
2015,"Endverbrauch - Total","Kohle",5210,"TJ","Terra Joule","Kanton ZH"
2016,"Endverbrauch - Total","Kohle",4790,"TJ","Terra Joule","Kanton ZH"
2017,"Endverbrauch - Total","Kohle",4610,"TJ","Terra Joule","Kanton ZH"
2018,"Endverbrauch - Total","Kohle",4290,"TJ","Terra Joule","Kanton ZH"
2019,"Endverbrauch - Total","Kohle",3840,"TJ","Terra Joule","Kanton ZH"
2020,"Endverbrauch - Total","Kohle",3700,"TJ","Terra Joule","Kanton ZH"
2021,"Endverbrauch - Total","Kohle",3730,"TJ","Terra Joule","Kanton ZH"
2022,"Endverbrauch - Total","Kohle",3880,"TJ","Terra Joule","Kanton ZH"
2023,"Endverbrauch - Total","Kohle",3060,"TJ","Terra Joule","Kanton ZH"
1990,"Endverbrauch - Verkehr","Erdölprodukte",253220,"TJ","Terra Joule","Kanton ZH"
1991,"Endverbrauch - Verkehr","Erdölprodukte",258940,"TJ","Terra Joule","Kanton ZH"
1992,"Endverbrauch - Verkehr","Erdölprodukte",265890,"TJ","Terra Joule","Kanton ZH"
1993,"Endverbrauch - Verkehr","Erdölprodukte",253490,"TJ","Terra Joule","Kanton ZH"
1994,"Endverbrauch - Verkehr","Erdölprodukte",257470,"TJ","Terra Joule","Kanton ZH"
1995,"Endverbrauch - Verkehr","Erdölprodukte",256360,"TJ","Terra Joule","Kanton ZH"
1996,"Endverbrauch - Verkehr","Erdölprodukte",259080,"TJ","Terra Joule","Kanton ZH"
1997,"Endverbrauch - Verkehr","Erdölprodukte",268890,"TJ","Terra Joule","Kanton ZH"
1998,"Endverbrauch - Verkehr","Erdölprodukte",274460,"TJ","Terra Joule","Kanton ZH"
1999,"Endverbrauch - Verkehr","Erdölprodukte",286920,"TJ","Terra Joule","Kanton ZH"
2000,"Endverbrauch - Verkehr","Erdölprodukte",293370,"TJ","Terra Joule","Kanton ZH"
