gbs_id,datum_verfuegung
b 00-10157,12.10.2006
b 00-10158,12.10.2006
b 00-10159,26.10.2006
b 00-10160,27.10.2006
b 00-10161,13.11.2006
b 00-10162,08.12.2006
b 00-10163,11.12.2006
b 00-10164,21.12.2006
b 00-10165,30.01.2007
b 00-10166,05.02.2007
b 00-10167,12.02.2007
b 00-10168,12.02.2007
b 00-10169,12.02.2007
b 00-10170,13.02.2007
b 00-10171,13.02.2007
b 00-10172,13.02.2007
b 00-10173,22.02.2007
b 00-10174,09.03.2007
b 00-10175,23.03.2007
b 00-10176,27.03.2007
b 00-10177,12.04.2007
b 00-10178,24.04.2007
b 00-10186,08.06.2007
b 00-10187,30.04.2007
b 00-10188,07.05.2007
b 00-10189,10.05.2007
b 00-10190,18.05.2007
b 00-10191,30.05.2007
b 00-10192,30.05.2007
b 00-10193,30.05.2007
b 00-10194,30.05.2007
b 00-10195,30.05.2007
b 00-10196,31.05.2007
b 00-10197,04.06.2007
b 00-10198,07.06.2007
b 00-10199,07.06.2007
b 00-10200,29.06.2007
b 00-10201,29.06.2007
b 00-10202,02.07.2007
b 00-10203,05.07.2007
b 00-10204,05.07.2007
b 00-10205,16.07.2007
b 00-10206,18.07.2007
b 00-10207,06.08.2007
b 00-10208,06.08.2007
b 00-10209,06.08.2007
b 00-10210,04.09.2007
b 00-10211,04.09.2007
b 00-10212,04.09.2007
b 00-10213,04.09.2007
b 00-10215,14.08.2007
b 00-10216,17.09.2007
b 00-10217,18.09.2007
b 00-10218,02.10.2007
b 00-10220,02.10.2007
b 00-10221,02.10.2007
b 00-10223,23.10.2007
b 00-10224,25.10.2007
b 00-10225,25.10.2007
b 00-10226,25.10.2007
b 00-10227,25.10.2007
b 00-10228,30.10.2007
b 00-10229,02.11.2007
b 00-10230,05.11.2007
b 00-10231,12.11.2007
b 00-10232,16.11.2007
b 00-10233,29.11.2007
b 00-10234,06.12.2007
b 00-10235,10.01.2008
b 00-10236,11.01.2008
b 00-10237,21.01.2008
b 00-10238,22.01.2008
b 00-10239,31.01.2008
b 00-10240,31.01.2008
b 00-10241,31.01.2008
b 00-10242,01.02.2008
b 00-10243,05.02.2008
b 00-10244,05.02.2008
b 00-10246,12.02.2008
b 00-10247,15.02.2008
b 00-10248,15.02.2008
b 00-10249,15.02.2008
b 00-10250,15.02.2008
b 00-10252,27.02.2008
b 00-10253,27.02.2008
b 00-10254,29.02.2008
b 00-10255,04.03.2008
b 00-10256,10.03.2008
b 00-10257,27.03.2008
b 00-10258,28.03.2008
b 00-10259,31.03.2008
b 00-10260,31.03.2008
b 00-10261,31.03.2008
b 00-10262,31.03.2008
b 00-10263,31.03.2008
b 00-10264,16.04.2008
b 00-10265,29.04.2008
b 00-10266,21.04.2008
b 00-10267,21.04.2008
b 00-10268,21.04.2008
b 00-10269,21.04.2008
b 00-10270,22.04.2008
b 00-10271,29.04.2008
b 00-10272,29.04.2008
b 00-10273,30.04.2008
b 00-10274,05.05.2008
b 00-10275,05.05.2008
b 00-10276,21.05.2008
b 00-10277,21.05.2008
b 00-10278,26.05.2008
b 00-10279,29.05.2008
b 00-10280,29.05.2008
b 00-10281,29.05.2008
b 00-10282,29.05.2008
b 00-10283,30.05.2008
b 00-10284,10.06.2008
b 00-10285,13.06.2008
b 00-10286,13.06.2008
b 00-10287,18.06.2008
b 00-10288,18.06.2008
b 00-10289,18.06.2008
b 00-10290,18.06.2008
b 00-10291,18.06.2008
b 00-10292,18.06.2008
b 00-10293,24.06.2008
b 00-10294,30.06.2008
b 00-10295,04.07.2008
b 00-10296,10.07.2008
b 00-10297,11.07.2008
b 00-10298,21.07.2008
b 00-10299,23.07.2008
b 00-10300,23.07.2008
b 00-10301,29.07.2008
b 00-10302,08.08.2008
b 00-10303,11.08.2008
b 00-10304,11.08.2008
b 00-10305,11.08.2008
b 00-10306,11.08.2008
b 00-10307,12.08.2008
b 00-10308,25.08.2008
b 00-10309,25.08.2008
b 00-10310,25.08.2008
b 00-10311,26.08.2008
b 00-10312,26.08.2008
b 00-10313,26.08.2008
b 00-10314,28.08.2008
b 00-10315,01.09.2008
b 00-10316,03.09.2008
b 00-10317,03.09.2008
b 00-10318,03.09.2008
b 00-10319,04.09.2008
b 00-10320,05.09.2008
b 00-10321,11.09.2008
b 00-10322,17.09.2008
b 00-10323,17.09.2008
b 00-10324,24.09.2008
b 00-10325,29.09.2008
b 00-10326,08.10.2008
b 00-10327,08.10.2008
b 00-10328,08.10.2008
b 00-10329,10.10.2008
b 00-10330,31.10.2008
b 00-10331,06.11.2008
b 00-10332,07.11.2008
b 00-10333,13.11.2008
b 00-10334,18.11.2008
b 00-10335,19.11.2008
b 00-10336,19.11.2008
b 00-10337,24.11.2008
b 00-10338,24.11.2008
b 00-10339,24.11.2008
b 00-10340,04.12.2008
b 00-10341,05.02.2009
b 00-10342,07.01.2009
b 00-10343,08.01.2009
b 00-10344,12.01.2009
b 00-10345,12.01.2009
b 00-10346,13.01.2009
b 00-10347,30.01.2009
b 00-10348,09.02.2009
b 00-10349,16.02.2009
b 00-10350,19.02.2009
b 00-10351,23.02.2009
b 00-10352,23.02.2009
b 00-10353,23.02.2009
b 00-10354,25.02.2009
b 00-10355,02.03.2009
b 00-10356,04.03.2009
b 00-10357,04.03.2009
b 00-10358,05.03.2009
b 00-10359,05.03.2009
b 00-10360,05.03.2009
b 00-10361,05.03.2009
b 00-10362,09.03.2009
b 00-10363,18.03.2009
b 00-10364,18.03.2009
b 00-10365,20.03.2009
b 00-10366,23.03.2009
b 00-10367,02.04.2009
b 00-10368,02.04.2009
b 00-10369,02.04.2009
b 00-10370,02.04.2009
b 00-10371,02.04.2009
b 00-10372,25.03.2009
b 00-10373,30.03.2009
b 00-10374,08.04.2009
b 00-10375,09.04.2009
b 00-10376,15.04.2009
b 00-10377,16.04.2009
b 00-10378,16.04.2009
b 00-10379,17.04.2009
b 00-10380,22.04.2009
b 00-10381,22.04.2009
b 00-10382,29.04.2009
b 00-10383,13.05.2009
b 00-10384,14.05.2009
