gbs_id,datum_verfuegung
g 00-10152,16.06.2005
g 00-10153,27.07.2005
g 00-10154,27.07.2005
g 00-10155,27.07.2005
g 00-10156,27.06.2005
g 00-10157,09.09.2005
g 00-10158,09.09.2005
g 00-10159,09.09.2005
g 00-10160,09.09.2005
g 00-10161,17.10.2005
g 00-10162,24.10.2005
g 00-10163,31.10.2005
g 00-10164,31.10.2005
g 00-10165,31.10.2005
g 00-10166,31.10.2005
g 00-10167,31.10.2005
g 00-10168,31.10.2005
g 00-10169,17.11.2005
g 00-10170,17.11.2005
g 00-10171,17.11.2005
g 00-10172,17.11.2005
g 00-10173,17.11.2005
g 00-10174,17.11.2005
g 00-10175,17.11.2005
g 00-10176,05.12.2005
g 00-10177,24.01.2006
g 00-10178,24.01.2006
g 00-10179,31.01.2006
g 00-10180,13.02.2006
g 00-10181,13.02.2006
g 00-10182,14.02.2006
g 00-10183,20.02.2006
g 00-10184,23.02.2006
g 00-10185,27.02.2006
g 00-10186,27.02.2006
g 00-10187,22.03.2006
g 00-10188,27.03.2006
g 00-10189,20.04.2006
g 00-10190,20.04.2006
g 00-10191,20.04.2006
g 00-10192,20.04.2006
g 00-10193,20.04.2006
g 00-10194,20.04.2006
g 00-10195,20.04.2006
g 00-10196,20.04.2006
g 00-10197,20.04.2006
g 00-10198,04.05.2006
g 00-10199,15.05.2006
g 00-10200,18.05.2006
g 00-10201,23.05.2006
g 00-10202,26.05.2006
g 00-10203,26.05.2006
g 00-10204,13.06.2006
g 00-10205,13.06.2006
g 00-10206,15.06.2006
g 00-10207,28.06.2006
g 00-10208,29.06.2006
g 00-10209,30.06.2006
g 00-10210,15.08.2006
g 00-10211,05.07.2006
g 00-10212,11.07.2006
g 00-10213,11.07.2006
g 00-10214,11.07.2006
g 00-10215,14.07.2006
g 00-10216,19.07.2006
g 00-10217,15.08.2006
g 00-10218,18.08.2006
g 00-10219,24.08.2006
g 00-10220,04.09.2006
g 00-10221,04.08.2006
g 00-10222,08.09.2006
g 00-10223,11.09.2006
g 00-10225,23.10.2006
g 00-10226,26.10.2006
g 00-10227,23.11.2006
g 00-10228,23.11.2006
g 00-10229,27.11.2006
g 00-10230,11.12.2006
g 00-10231,11.12.2006
g 00-10232,13.12.2006
g 00-10233,13.12.2006
g 00-10234,20.12.2006
g 00-10235,20.12.2006
g 00-10236,20.12.2006
g 00-10237,20.12.2006
g 00-10238,15.01.2007
g 00-10239,15.01.2007
g 00-10240,15.01.2007
g 00-10241,15.01.2007
g 00-10242,15.01.2007
g 00-10243,15.01.2007
g 00-10244,18.01.2007
g 00-10245,18.01.2007
g 00-10246,18.01.2007
g 00-10247,01.02.2007
g 00-10248,15.02.2007
g 00-10249,20.02.2007
g 00-10250,20.02.2007
g 00-10251,21.02.2007
g 00-10252,21.02.2007
g 00-10253,26.02.2007
g 00-10254,06.03.2007
g 00-10255,09.03.2007
g 00-10256,16.03.2007
g 00-10257,19.03.2007
g 00-10258,21.03.2007
g 00-10259,27.03.2007
g 00-10260,13.04.2007
g 00-10261,20.04.2007
g 00-10262,04.05.2007
g 00-10263,04.05.2007
g 00-10264,04.05.2007
g 00-10265,07.05.2007
g 00-10266,07.05.2007
g 00-10267,07.05.2007
g 00-10268,07.05.2007
g 00-10269,10.05.2007
g 00-10270,18.05.2007
g 00-10271,21.05.2007
g 00-10272,31.05.2007
g 00-10273,07.06.2007
g 00-10274,12.06.2007
g 00-10275,12.06.2007
g 00-10276,12.06.2007
g 00-10277,20.06.2007
g 00-10278,20.06.2007
g 00-10279,20.06.2007
g 00-10280,20.06.2007
g 00-10281,16.07.2007
g 00-10282,16.07.2007
g 00-10283,20.07.2007
g 00-10284,23.07.2007
g 00-10285,23.07.2007
g 00-10286,25.07.2007
g 00-10287,25.07.2007
g 00-10288,25.07.2007
g 00-10289,07.08.2007
g 00-10290,09.08.2007
g 00-10291,15.08.2007
g 00-10292,16.08.2007
g 00-10293,17.08.2007
g 00-10294,17.08.2007
g 00-10295,20.08.2007
g 00-10296,20.08.2007
g 00-10297,29.08.2007
g 00-10298,06.09.2007
g 00-10299,10.09.2007
g 00-10300,20.09.2007
g 00-10301,20.09.2007
g 00-10302,24.09.2007
g 00-10303,27.09.2007
g 00-10304,28.09.2007
g 00-10305,11.10.2007
g 00-10306,23.10.2007
g 00-10307,31.10.2007
g 00-10308,22.11.2007
g 00-10309,27.11.2007
g 00-10310,27.11.2007
g 00-10311,27.11.2007
g 00-10312,05.12.2007
g 00-10313,17.12.2007
g 00-10314,08.01.2008
g 00-10315,14.01.2008
g 00-10316,14.01.2008
g 00-10317,16.01.2008
g 00-10318,28.01.2008
g 00-10319,29.01.2008
g 00-10320,29.01.2008
g 00-10321,29.01.2008
g 00-10322,31.01.2008
g 00-10323,07.02.2008
g 00-10324,11.02.2008
g 00-10325,11.02.2008
g 00-10326,11.02.2008
g 00-10327,11.02.2008
g 00-10328,11.02.2008
g 00-10329,11.02.2008
g 00-10330,11.02.2008
g 00-10331,11.02.2008
g 00-10332,11.02.2008
g 00-10333,25.02.2008
g 00-10334,06.03.2008
g 00-10335,06.03.2008
g 00-10336,06.03.2008
g 00-10337,06.03.2008
g 00-10338,10.03.2008
g 00-10339,12.03.2008
g 00-10340,26.03.2008
g 00-10341,28.03.2008
g 00-10342,28.03.2008
g 00-10343,28.03.2008
g 00-10344,11.04.2008
g 00-10345,15.04.2008
g 00-10346,18.04.2008
g 00-10347,21.04.2008
g 00-10348,21.04.2008
g 00-10349,21.04.2008
g 00-10350,22.04.2008
g 00-10351,05.05.2008
g 00-10352,14.05.2008
g 00-10353,22.05.2008
g 00-10354,23.05.2008
g 00-10355,23.05.2008
g 00-10356,27.05.2008
g 00-10357,03.06.2008
g 00-10358,06.06.2008
g 00-10359,06.06.2008
g 00-10360,06.06.2008
g 00-10361,10.06.2008
g 00-10362,12.06.2008
g 00-10363,23.06.2008
g 00-10364,25.06.2008
g 00-10365,25.06.2008
g 00-10366,27.06.2008
g 00-10367,27.06.2008
g 00-10368,27.06.2008
g 00-10369,03.07.2008
g 00-10370,04.07.2008
g 00-10371,10.07.2008
g 00-10372,11.07.2008
g 00-10373,15.07.2008
g 00-10374,17.07.2008
g 00-10375,18.07.2008
g 00-10376,21.07.2008
g 00-10377,21.07.2008
g 00-10378,29.07.2008
g 00-10379,29.07.2008
g 00-10380,29.07.2008
g 00-10381,05.08.2008
g 00-10382,31.07.2008
g 00-10383,05.08.2008
g 00-10384,05.08.2008
g 00-10385,05.08.2008
g 00-10386,05.08.2008
g 00-10387,05.08.2008
g 00-10388,11.08.2008
g 00-10389,13.08.2008
g 00-10390,13.08.2008
g 00-10391,13.08.2008
g 00-10392,14.08.2008
g 00-10393,14.08.2008
g 00-10394,14.08.2008
g 00-10395,14.08.2008
g 00-10396,14.08.2008
g 00-10397,18.08.2008
g 00-10398,25.08.2008
g 00-10399,27.08.2008
g 00-10400,01.09.2008
g 00-10401,01.09.2008
g 00-10402,03.09.2008
g 00-10403,05.09.2008
g 00-10404,08.09.2008
g 00-10406,17.09.2008
g 00-10407,17.09.2008
g 00-10408,19.09.2008
g 00-10409,23.09.2008
g 00-10410,25.09.2008
g 00-10411,25.09.2008
g 00-10412,25.09.2008
g 00-10413,29.09.2008
g 00-10414,07.10.2008
g 00-10415,09.10.2008
g 00-10416,09.10.2008
g 00-10417,09.10.2008
g 00-10418,09.10.2008
g 00-10419,10.10.2008
g 00-10420,10.10.2008
g 00-10421,10.10.2008
g 00-10422,15.10.2008
g 00-10423,15.10.2008
g 00-10424,20.10.2008
g 00-10425,29.10.2008
g 00-10426,29.10.2008
g 00-10427,29.10.2008
g 00-10428,03.11.2008
g 00-10429,07.11.2008
g 00-10430,10.11.2008
g 00-10431,13.11.2008
g 00-10432,20.11.2008
g 00-10433,28.11.2008
g 00-10434,04.12.2008
g 00-10435,04.12.2008
g 00-10436,17.12.2008
g 00-10437,07.01.2009
g 00-10438,07.01.2009
g 00-10439,07.01.2009
g 00-10440,27.01.2009
g 00-10441,29.01.2009
g 00-10442,09.02.2009
g 00-10443,10.02.2009
g 00-10444,11.02.2009
g 00-10445,12.02.2009
g 00-10446,12.02.2009
g 00-10447,16.02.2009
g 00-10448,18.02.2009
g 00-10449,23.02.2009
g 00-10450,25.02.2009
g 00-10451,02.03.2009
g 00-10452,03.03.2009
g 00-10453,18.03.2009
g 00-10454,18.03.2009
g 00-10455,23.04.2009
g 00-10456,31.03.2009
g 00-10457,31.03.2009
g 00-10458,01.04.2009
g 00-10459,03.04.2009
g 00-10460,08.04.2009
g 00-10461,20.04.2009
g 00-10462,23.04.2009
g 00-10463,27.04.2009
g 00-10464,27.04.2009
g 00-10465,27.04.2009
g 00-10466,05.05.2009
g 00-10467,13.05.2009
g 00-10468,25.05.2009
g 00-10469,19.05.2009
g 00-10470,19.05.2009
g 00-10471,26.05.2009
g 00-10472,27.05.2009
g 00-10473,02.06.2009
g 00-10474,02.06.2009
g 00-10475,02.06.2009
g 00-10476,03.06.2009
g 00-10477,03.06.2009
g 00-10478,03.06.2009
g 00-10479,10.06.2009
g 00-10480,11.06.2009
g 00-10481,11.06.2009
g 00-10482,15.06.2009
g 00-10483,15.06.2009
g 00-10484,15.06.2009
g 00-10485,15.06.2009
g 00-10486,15.06.2009
g 00-10487,15.06.2009
g 00-10488,15.06.2009
g 00-10489,15.06.2009
g 00-10490,17.06.2009
g 00-10491,18.06.2009
g 00-10492,25.06.2009
g 00-10493,29.06.2009
g 00-10494,29.06.2009
g 00-10495,02.07.2009
g 00-10496,07.07.2009
g 00-10497,15.07.2009
g 00-10498,16.07.2009
g 00-10499,17.07.2009
g 00-10500,20.07.2009
g 00-10501,21.07.2009
g 00-10502,22.07.2009
g 00-10503,23.07.2009
g 00-10504,29.07.2009
g 00-10505,12.08.2009
g 00-10506,31.08.2009
g 00-10507,31.08.2009
g 00-10508,01.09.2009
g 00-10509,28.09.2009
g 00-10510,01.10.2009
g 00-10511,02.10.2009
g 00-10512,02.10.2009
g 00-10513,06.10.2009
g 00-10514,07.10.2009
g 00-10515,07.10.2009
g 00-10516,07.10.2009
g 00-10517,14.10.2009
g 00-10518,21.10.2009
g 00-10519,22.10.2009
g 00-10520,29.10.2009
g 00-10521,03.11.2009
g 00-10522,03.11.2009
g 00-10523,04.11.2009
g 00-10524,04.11.2009
g 00-10525,04.11.2009
g 00-10526,04.11.2009
g 00-10527,05.11.2009
g 00-10528,11.11.2009
g 00-10529,11.11.2009
g 00-10530,11.11.2009
g 00-10531,11.11.2009
g 00-10532,11.11.2009
g 00-10535,12.11.2009
g 00-10536,12.11.2009
g 00-10537,18.11.2009
g 00-10538,18.11.2009
g 00-10539,01.12.2009
g 00-10540,03.12.2009
g 00-10541,03.12.2009
g 00-10542,03.12.2009
g 00-10543,03.12.2009
g 00-10544,10.12.2009
g 00-10545,14.12.2009
g 00-10546,14.12.2009
g 00-10547,17.12.2009
g 00-10548,17.12.2009
g 00-10549,17.12.2009
g 00-10550,12.01.2010
g 00-10551,25.01.2010
g 00-10552,28.01.2010
g 00-10553,16.02.2010
g 00-10554,16.02.2010
g 00-10555,16.02.2010
g 00-10556,16.02.2010
g 00-10557,24.02.2010
g 00-10558,24.02.2010
g 00-10559,24.02.2010
g 00-10560,03.03.2010
g 00-10561,05.03.2010
g 00-10562,05.03.2010
g 00-10563,08.03.2010
g 00-10564,15.03.2010
g 00-10565,22.03.2010
g 00-10566,23.03.2010
g 00-10567,25.03.2010
g 00-10568,25.03.2010
g 00-10569,06.04.2010
g 00-10570,06.04.2010
g 00-10571,06.04.2010
g 00-10572,06.04.2010
g 00-10573,06.04.2010
g 00-10574,06.04.2010
g 00-10575,06.04.2010
g 00-10576,06.04.2010
g 00-10577,06.04.2010
g 00-10578,06.04.2010
g 00-10579,14.04.2010
g 00-10580,07.05.2010
g 00-10581,19.05.2010
g 00-10582,03.06.2010
g 00-10583,15.06.2010
g 00-10584,15.06.2010
g 00-10585,16.06.2010
g 00-10586,22.06.2010
g 00-10587,29.06.2010
g 00-10588,30.06.2010
g 00-10589,02.07.2010
g 00-10590,02.07.2010
g 00-10591,02.07.2010
g 00-10592,05.07.2010
g 00-10593,12.07.2010
g 00-10594,14.07.2010
g 00-10595,16.07.2010
g 00-10596,27.07.2010
g 00-10597,05.08.2010
g 00-10598,18.08.2010
g 00-10599,23.08.2010
g 00-10601,23.08.2010
g 00-10602,23.08.2010
g 00-10603,23.08.2010
g 00-10604,23.08.2010
g 00-10605,25.08.2010
g 00-10606,31.08.2010
g 00-10607,09.09.2010
g 00-10608,09.09.2010
g 00-10609,16.09.2010
g 00-10610,16.09.2010
g 00-10611,16.09.2010
g 00-10612,22.09.2010
g 00-10613,25.09.2010
g 00-10614,25.09.2010
g 00-10615,25.09.2010
g 00-10616,25.09.2010
g 00-10617,25.09.2010
g 00-10618,25.09.2010
g 00-10619,11.10.2010
g 00-10620,11.10.2010
g 00-10621,12.10.2010
g 00-10622,12.10.2010
g 00-10623,20.10.2010
g 00-10624,25.10.2010
g 00-10625,04.11.2010
g 00-10626,23.11.2010
g 00-10627,23.11.2010
g 00-10628,24.11.2010
g 00-10629,24.11.2010
g 00-10630,24.11.2010
g 00-10631,25.11.2010
g 00-10632,29.11.2010
g 00-10633,29.11.2010
g 00-10634,15.12.2010
g 00-10635,15.12.2010
g 00-10636,21.12.2010
g 00-10637,03.01.2011
g 00-10638,03.01.2011
g 00-10639,05.01.2011
g 00-10640,13.01.2011
g 00-10641,13.01.2011
g 00-10642,13.01.2011
g 00-10643,13.01.2011
g 00-10644,13.01.2011
g 00-10645,13.01.2011
g 00-10646,13.01.2011
g 00-10647,13.01.2011
g 00-10648,13.01.2011
g 00-10649,13.01.2011
g 00-10650,13.01.2011
g 00-10651,13.01.2011
g 00-10652,13.01.2011
g 00-10653,13.01.2011
g 00-10654,13.01.2011
g 00-10655,13.01.2011
g 00-10656,17.01.2011
g 00-10657,18.01.2011
g 00-10658,26.01.2011
g 00-10659,27.01.2011
g 00-10660,27.01.2011
g 00-10661,02.02.2011
g 00-10662,08.02.2011
g 00-10663,08.02.2011
g 00-10664,09.02.2011
g 00-10665,22.02.2011
g 00-10666,11.03.2011
g 00-10667,15.03.2011
g 00-10668,17.03.2011
g 00-10669,24.03.2011
g 00-10670,24.03.2011
g 00-10671,28.03.2011
g 00-10672,28.03.2011
g 00-10673,29.03.2011
g 00-10674,30.03.2011
g 00-10675,30.03.2011
g 00-10676,30.03.2011
g 00-10677,30.03.2011
g 00-10678,30.03.2011
g 00-10679,30.03.2011
g 00-10680,30.03.2011
g 00-10681,30.03.2011
g 00-10682,30.03.2011
g 00-10683,30.03.2011
g 00-10684,30.03.2011
g 00-10685,06.04.2011
g 00-10686,12.04.2011
g 00-10687,18.04.2011
g 00-10688,28.04.2011
g 00-10689,05.05.2011
g 00-10690,24.05.2011
g 00-10691,31.05.2011
g 00-10692,06.06.2011
g 00-10693,07.06.2011
g 00-10694,07.06.2011
g 00-10695,20.06.2011
g 00-10696,27.06.2011
g 00-10697,27.06.2011
g 00-10698,30.06.2011
g 00-10699,30.06.2011
g 00-10700,04.07.2011
g 00-10701,04.07.2011
g 00-10702,13.07.2011
g 00-10703,20.07.2011
g 00-10704,21.07.2011
g 00-10705,21.07.2011
g 00-10706,21.07.2011
g 00-10707,21.07.2011
g 00-10708,21.07.2011
g 00-10709,21.07.2011
g 00-10710,21.07.2011
g 00-10711,25.07.2011
g 00-10713,26.07.2011
g 00-10714,26.07.2011
g 00-10715,26.07.2011
g 00-10716,27.07.2011
g 00-10717,28.07.2011
g 00-10718,28.07.2011
g 00-10719,02.08.2011
g 00-10720,10.08.2011
g 00-10721,12.08.2011
g 00-10722,15.08.2011
g 00-10723,16.08.2011
g 00-10724,17.08.2011
g 00-10725,17.08.2011
g 00-10726,19.08.2011
g 00-10727,22.08.2011
g 00-10728,29.08.2011
g 00-10729,30.08.2011
g 00-10730,30.08.2011
g 00-10731,30.08.2011
g 00-10732,05.09.2011
g 00-10733,12.09.2011
g 00-10734,13.09.2011
g 00-10735,13.09.2011
g 00-10736,14.09.2011
g 00-10737,26.09.2011
g 00-10738,04.10.2011
g 00-10739,11.10.2011
g 00-10740,12.10.2011
g 00-10741,18.10.2011
g 00-10742,26.10.2011
g 00-10743,04.11.2011
g 00-10744,16.11.2011
g 00-10745,28.11.2011
g 00-10746,01.12.2011
g 00-10747,06.12.2011
g 00-10749,14.12.2011
g 00-10750,10.01.2012
g 00-10751,12.01.2012
g 00-10752,16.01.2012
g 00-10753,16.01.2012
g 00-10754,16.01.2012
g 00-10755,23.01.2012
g 00-10756,30.01.2012
g 00-10757,30.01.2012
g 00-10758,30.01.2012
g 00-10759,02.02.2012
g 00-10760,20.02.2012
g 00-10761,21.02.2012
g 00-10762,23.02.2012
g 00-10763,12.03.2012
g 00-10764,13.03.2012
g 00-10765,14.03.2012
g 00-10766,15.03.2012
g 00-10767,11.04.2012
g 00-10768,11.04.2012
g 00-10769,12.04.2012
g 00-10770,12.04.2012
g 00-10771,12.04.2012
g 00-10772,13.04.2012
g 00-10773,13.04.2012
g 00-10774,19.04.2012
g 00-10775,20.04.2012
g 00-10776,20.04.2012
g 00-10777,26.04.2012
g 00-10778,02.05.2012
g 00-10779,02.05.2012
g 00-10780,03.05.2012
g 00-10781,07.05.2012
g 00-10782,07.05.2012
g 00-10783,10.05.2012
g 00-10784,14.05.2012
g 00-10785,15.05.2012
g 00-10786,15.05.2012
g 00-10787,15.05.2012
g 00-10788,23.05.2012
g 00-10789,29.05.2012
g 00-10790,29.05.2012
g 00-10791,29.05.2012
g 00-10792,30.05.2012
g 00-10793,30.05.2012
g 00-10794,06.06.2012
g 00-10795,13.06.2012
g 00-10796,19.06.2012
g 00-10797,19.06.2012
g 00-10798,25.06.2012
g 00-10799,27.06.2012
g 00-10800,27.06.2012
g 00-10801,27.06.2012
g 00-10802,27.06.2012
g 00-10803,27.06.2012
g 00-10804,27.06.2012
g 00-10805,27.06.2012
g 00-10806,27.06.2012
g 00-10807,27.06.2012
g 00-10808,02.07.2012
g 00-10809,02.07.2012
g 00-10810,02.07.2012
g 00-10811,02.07.2012
g 00-10812,02.07.2012
g 00-10813,12.07.2012
g 00-10814,11.07.2012
g 00-10815,12.07.2012
g 00-10816,12.07.2012
g 00-10817,24.07.2012
g 00-10818,30.07.2012
g 00-10819,06.08.2012
g 00-10820,07.08.2012
g 00-10821,07.08.2012
g 00-10822,08.08.2012
g 00-10823,21.08.2012
g 00-10824,21.08.2012
g 00-10825,21.08.2012
g 00-10826,22.08.2012
g 00-10827,28.08.2012
g 00-10828,12.09.2012
g 00-10829,18.09.2012
g 00-10830,25.09.2012
g 00-10831,26.09.2012
g 00-10832,26.09.2012
g 00-10833,26.09.2012
g 00-10834,26.09.2012
g 00-10835,26.09.2012
g 00-10836,26.09.2012
g 00-10837,26.09.2012
g 00-10841,02.10.2012
g 00-10842,03.10.2012
g 00-10843,04.10.2012
g 00-10844,10.10.2012
g 00-10845,11.10.2012
g 00-10846,11.10.2012
g 00-10847,15.10.2012
g 00-10848,18.10.2012
g 00-10849,18.10.2012
g 00-10850,22.10.2012
g 00-10851,23.10.2012
g 00-10852,07.11.2012
g 00-10853,13.11.2012
g 00-10854,29.11.2012
g 00-10855,30.11.2012
g 00-10856,07.12.2012
g 00-10857,14.01.2013
g 00-10858,16.01.2013
g 00-10859,21.01.2013
g 00-10860,25.01.2013
g 00-10861,29.01.2013
g 00-10862,05.02.2013
g 00-10863,12.02.2013
g 00-10864,15.02.2013
g 00-10865,22.02.2013
g 00-10866,25.02.2013
g 00-10867,25.02.2013
g 00-10868,25.02.2013
g 00-10869,25.02.2013
g 00-10870,25.02.2013
g 00-10871,25.02.2013
g 00-10872,25.02.2013
g 00-10873,25.02.2013
g 00-10874,25.02.2013
g 00-10875,08.03.2013
g 00-10876,11.03.2013
g 00-10877,11.03.2013
g 00-10878,11.03.2013
g 00-10879,11.03.2013
g 00-10880,11.03.2013
g 00-10881,13.03.2013
g 00-10882,14.03.2013
g 00-10883,14.03.2013
g 00-10884,08.04.2013
g 00-10885,09.04.2013
g 00-10886,15.04.2013
g 00-10887,17.04.2013
g 00-10888,22.04.2013
g 00-10889,22.04.2013
g 00-10890,22.04.2013
g 00-10891,22.04.2013
g 00-10892,21.05.2013
g 00-10893,06.05.2013
g 00-10894,07.05.2013
g 00-10895,15.05.2013
g 00-10896,15.05.2013
g 00-10897,21.05.2013
g 00-10898,24.05.2013
g 00-10899,27.05.2013
g 00-10900,07.06.2013
g 00-10901,11.06.2013
g 00-10902,10.06.2013
g 00-10903,12.06.2013
g 00-10904,18.06.2013
g 00-10905,27.06.2013
g 00-10906,01.07.2013
g 00-10907,01.07.2013
g 00-10908,01.07.2013
g 00-10909,01.07.2013
g 00-10910,02.07.2013
g 00-10911,03.07.2013
g 00-10912,05.07.2013
g 00-10913,18.07.2013
g 00-10914,30.07.2013
g 00-10915,30.07.2013
g 00-10916,30.07.2013
g 00-10917,31.07.2013
g 00-10918,07.08.2013
g 00-10919,15.08.2013
g 00-10920,19.08.2013
g 00-10921,20.08.2013
g 00-10922,26.08.2013
g 00-10923,26.08.2013
g 00-10924,09.09.2013
g 00-10925,10.09.2013
g 00-10926,11.09.2013
g 00-10927,16.09.2013
g 00-10928,18.09.2013
g 00-10929,25.09.2013
g 00-10930,28.10.2013
g 00-10931,29.10.2013
g 00-10932,29.10.2013
g 00-10933,29.10.2013
g 00-10934,29.10.2013
g 00-10935,29.10.2013
g 00-10936,29.10.2013
g 00-10937,01.11.2013
g 00-10938,05.11.2013
g 00-10939,05.11.2013
g 00-10940,06.11.2013
g 00-10941,12.11.2013
g 00-10942,17.12.2013
g 00-10943,14.01.2014
g 00-10944,15.01.2014
g 00-10945,29.01.2014
g 00-10946,18.02.2014
g 00-10947,12.03.2014
g 00-10948,20.03.2014
g 00-10949,25.03.2014
g 00-10950,28.04.2014
g 00-10951,02.05.2014
g 00-10952,08.05.2014
g 00-10953,19.05.2014
g 00-10954,26.05.2014
g 00-10955,02.06.2014
g 00-10956,02.06.2014
g 00-10957,12.06.2014
g 00-10958,16.06.2014
g 00-10959,16.06.2014
g 00-10960,18.06.2014
g 00-10961,30.06.2014
g 00-10962,07.07.2014
g 00-10963,18.07.2014
g 00-10964,18.07.2014
g 00-10965,09.07.2014
g 00-10966,15.07.2014
g 00-10967,24.07.2014
g 00-10968,30.07.2014
g 00-10969,30.07.2014
g 00-10970,04.08.2014
g 00-10971,04.08.2014
g 00-10972,04.08.2014
g 00-10973,04.08.2014
g 00-10974,04.08.2014
g 00-10975,05.08.2014
g 00-10976,12.08.2014
g 00-10977,13.08.2014
g 00-10978,18.08.2014
g 00-10979,21.08.2014
g 00-10980,21.08.2014
g 00-10981,25.08.2014
g 00-10982,26.08.2014
g 00-10983,03.09.2014
g 00-10984,11.09.2014
g 00-10985,23.09.2014
g 00-10986,23.09.2014
g 00-10987,30.09.2014
g 00-10988,05.11.2014
g 00-10989,12.11.2014
g 00-10990,18.11.2014
g 00-10991,24.11.2014
g 00-10992,24.11.2014
g 00-10993,24.11.2014
g 00-10995,10.12.2014
g 01-00025,14.04.1999
g 01-00026,04.08.2000
g 01-10001,11.06.2004
g 01-10002,10.08.2005
g 01-10003,31.05.2006
g 01-10004,18.07.2008
g 01-10005,15.10.2008
g 01-10006,27.05.2009
g 01-10006,27.05.2009
g 01-10006,27.05.2009
g 01-10007,27.07.2009
g 01-10008,19.08.2009
g 01-10009,19.08.2009
g 01-10010,28.08.2009
g 01-10011,17.11.2009
g 01-10012,08.03.2010
g 01-10013,08.03.2010
g 01-10014,24.09.2010
g 01-10015,19.01.2011
g 01-10016,05.04.2011
g 01-10017,05.04.2011
g 01-10018,05.04.2011
g 01-10019,13.07.2011
g 01-10020,13.09.2011
g 01-10021,17.10.2011
g 01-10022,23.11.2011
g 01-10023,23.02.2012
g 01-10024,23.02.2012
g 01-10025,20.04.2012
g 01-10026,04.05.2012
g 01-10027,04.05.2012
g 01-10028,12.06.2012
g 01-10029,23.08.2012
g 01-10030,27.11.2012
g 01-10031,27.11.2012
g 01-10032,26.03.2013
g 01-10033,26.03.2013
g 01-10034,26.03.2013
g 01-10035,03.06.2013
g 01-10036,03.06.2013
g 01-10037,03.06.2013
g 01-10038,17.06.2013
g 01-10039,17.06.2013
g 01-10040,17.06.2013
g 01-10041,26.06.2013
g 01-10042,24.09.2013
g 01-10043,10.10.2013
g 01-10044,13.11.2013
g 01-10045,19.12.2013
g 01-10046,06.08.2014
g 01-10047,26.08.2014
g 01-10048,10.09.2014
g 01-10049,28.10.2014
g 01-10050,28.10.2014
g 03-10001,01.09.2003
g 03-10002,01.09.2003
g 03-10003,16.06.2008
g 03-10004,16.06.2008
g 03-10005,12.03.2010
g 03-10006,08.06.2010
g 03-10007,16.06.2011
g 03-10008,02.04.2012
g 03-10009,02.04.2012
g 03-10010,02.04.2012
g 03-10011,02.04.2012
g 03-10012,02.04.2012
g 03-10013,02.04.2012
g 03-10014,19.03.2013
g 03-10015,27.06.2013
g 03-10016,16.12.2013
g 03-10017,13.03.2014
g 03-10018,13.03.2014
g 06-00004,17.08.1999
g 06-10001,14.06.2004
g 06-10002,07.02.2008
g 06-10003,07.02.2008
g 06-10004,07.02.2008
g 06-10005,07.02.2008
g 06-10006,18.03.2008
g 06-10007,14.05.2008
g 06-10008,16.06.2009
g 06-10009,05.07.2011
g 06-10010,05.07.2011
g 06-10011,05.07.2011
g 06-10012,05.07.2011
g 06-10013,11.07.2011
g 06-10014,06.09.2012
g 06-10015,14.11.2012
g 06-10016,14.11.2012
g 06-10017,18.06.2014
g 06-10018,23.07.2014
g 07-10001,06.03.2008
g 07-10002,13.06.2008
g 07-10003,26.01.2009
g 07-10004,14.05.2009
g 07-10005,14.05.2009
g 07-10006,21.10.2009
g 07-10007,11.08.2010
g 07-10008,20.10.2010
g 07-10009,20.10.2010
g 07-10010,13.02.2012
g 07-10011,13.02.2012
g 07-10012,13.02.2012
g 07-10013,13.02.2012
g 07-10014,13.02.2012
g 07-10015,13.02.2012
g 07-10016,13.02.2012
g 07-10017,13.02.2012
g 07-10018,13.02.2012
g 07-10019,03.11.2014
g 08-10001,13.08.2008
g 08-10002,21.10.2008
g 08-10003,18.08.2009
g 08-10004,08.01.2010
g 08-10005,14.01.2010
g 08-10006,21.01.2011
g 08-10007,05.05.2011
g 08-10008,10.01.2012
g 08-10009,02.11.2011
g 08-10010,25.07.2012
g 08-10011,02.11.2012
g 08-10012,11.01.2013
g 08-10013,06.02.2013
g 08-10014,08.03.2013
g 08-10015,08.03.2013
g 08-10016,29.05.2013
g 08-10017,11.06.2013
g 08-10018,25.06.2013
g 08-10019,27.06.2013
g 08-10020,02.09.2013
g 08-10021,11.11.2013
g 09-10001,04.07.2013
g 14-00001,13.09.1991
g 14-10001,18.12.2008
g 14-10002,23.07.2009
g 14-10003,19.04.2011
g 14-10004,29.08.2011
g 14-10005,20.09.2011
g 14-10006,07.04.2014
g 15-10001,22.10.2009
g 17-00007,26.05.1998
g 17-10001,01.12.2003
g 17-10002,12.10.2005
g 17-10003,04.11.2008
g 17-10004,22.04.2009
g 17-10005,03.03.2010
g 17-10006,23.11.2010
g 17-10007,19.02.2014
g 17-10008,19.02.2014
g 17-10009,19.02.2014
g 17-10010,22.10.2014
g 18-10001,29.02.2008
g 18-10002,04.09.2009
g 18-10003,03.07.2012
h 00-01007,21.11.1983
h 00-01008,17.06.1985
h 00-01009,02.10.1985
h 00-01010,06.10.1986
h 00-01012,04.11.1986
h 00-01013,22.06.1987
h 00-01014,22.06.1987
h 00-01015,22.06.1987
h 00-01016,18.06.1987
h 00-01017,24.06.1987
h 00-01018,29.06.1987
